track_name,artist_name,genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
(It Goes Like) Nanana - Edit,Peggy Gou,"['electra', 'float house']",0.671,0.876,-5.681,0.0352,0.12,0.188,0.964,129.998
Nonsense,Sabrina Carpenter,['pop'],0.74,0.697,-4.912,0.034,0.0268,0.0,0.732,138.992
Last Night,Morgan Wallen,['contemporary country'],0.517,0.675,-5.382,0.0357,0.459,0.0,0.518,203.853
Unholy (feat. Kim Petras),Sam Smith,"['pop', 'uk pop']",0.714,0.472,-7.375,0.0864,0.013,4.51e-06,0.238,131.121
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",Metro Boomin,"['hip hop', 'rap']",0.599,0.526,-7.812,0.0385,0.0408,0.00256,0.134,90.018
Sprinter,Dave,['uk hip hop'],0.916,0.583,-8.067,0.241,0.186,0.0,0.661,141.095
LADY GAGA,Peso Pluma,['sad sierreno'],0.646,0.736,-7.118,0.0449,0.216,0.0,0.873,140.098
fukumean,Gunna,"['atl hip hop', 'melodic rap', 'rap', 'trap']",0.847,0.622,-6.747,0.0903,0.119,0.0,0.22,130.001
Aye (feat. Travis Scott),Lil Uzi Vert,"['melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",0.777,0.604,-4.452,0.0397,0.000713,5.64e-05,0.121,111.998
Oh U Went (feat. Drake),Young Thug,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']",0.808,0.789,-5.88,0.236,0.0517,0.0,0.465,136.01
Project Walls (feat. YoungBoy Never Broke Again),Lil Tjay,"['brooklyn drill', 'melodic rap', 'nyc rap', 'rap']",0.496,0.638,-6.539,0.271,0.271,0.0,0.469,137.487
Bluffin (feat. Lil Baby),Gucci Mane,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.678,0.483,-7.956,0.422,0.00361,0.0,0.12,160.156
Doomsday (with Juice WRLD & Cordae),Lyrical Lemonade,[],0.73,0.729,-3.939,0.203,0.0602,0.0,0.885,93.159
Flooded The Face,Lil Uzi Vert,"['melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",0.64,0.609,-7.714,0.304,0.492,2.47e-06,0.393,131.889
Point Me 2 (with Cardi B),FendiDa Rappa,[],0.773,0.607,-6.768,0.382,0.0354,0.0,0.279,155.026
Search & Rescue,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.817,0.44,-8.482,0.0734,0.0603,1.42e-06,0.544,142.024
All My Life (feat. J. Cole),Lil Durk,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",0.829,0.436,-8.205,0.327,0.15,0.0,0.693,143.031
Ocean Spray,Moneybagg Yo,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",0.896,0.581,-6.293,0.242,0.0334,0.0,0.544,133.957
Cut U Off,Joyner Lucas,"['boston hip hop', 'hip hop', 'pop rap', 'rap']",0.783,0.609,-7.222,0.159,0.0576,8.54e-06,0.612,77.556
back to the moon,Gunna,"['atl hip hop', 'melodic rap', 'rap', 'trap']",0.767,0.662,-4.856,0.0578,0.103,0.0,0.259,143.943
Heartless,King Von,['chicago rap'],0.74,0.672,-5.276,0.356,0.0511,0.0,0.217,155.903
One Time,42 Dugg,"['detroit trap', 'southern hip hop', 'trap']",0.634,0.484,-9.868,0.381,0.0745,0.0,0.298,164.012
Pull Up (feat. 21 Savage),Toosii,['north carolina hip hop'],0.939,0.521,-7.468,0.379,0.195,0.0,0.515,124.995
Johnny Dang (with Paul Wall & DRODi),That Mexican OT,['texas latin rap'],0.971,0.671,-5.26,0.154,0.416,0.0,0.754,119.965
Sprinter,Dave,['uk hip hop'],0.916,0.583,-8.067,0.241,0.186,0.0,0.661,141.095
Put It On Da Floor Again (feat. Cardi B),Latto,['trap queen'],0.849,0.614,-7.323,0.317,0.0282,0.0,0.472,111.363
Peaches & Eggplants (feat. 21 Savage),Young Nudy,"['pluggnb', 'rap', 'trap']",0.911,0.536,-7.884,0.282,0.00897,3.73e-06,0.584,146.014
Presidential Rolex,Key Glock,"['memphis hip hop', 'southern hip hop', 'tennessee hip hop', 'trap']",0.904,0.461,-4.349,0.164,0.0118,0.0,0.0794,148.045
"Wit Da Racks (feat. 21 Savage, Travis Scott & Yak Gotti)",Young Thug,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']",0.768,0.714,-6.914,0.294,0.00278,0.0,0.363,145.113
June 22nd,Lil Tjay,"['brooklyn drill', 'melodic rap', 'nyc rap', 'rap']",0.688,0.667,-6.195,0.327,0.125,0.0,0.303,159.991
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",Metro Boomin,"['hip hop', 'rap']",0.611,0.483,-6.216,0.055,0.214,0.0,0.204,145.983
Endless Fashion (feat. Nicki Minaj),Lil Uzi Vert,"['melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",0.731,0.605,-5.01,0.19,0.067,7.7e-06,0.413,132.946
bread & butter,Gunna,"['atl hip hop', 'melodic rap', 'rap', 'trap']",0.803,0.649,-4.294,0.213,0.111,0.0,0.135,85.037
Keep It Low (feat. Future),Moneybagg Yo,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",0.786,0.698,-4.697,0.0976,0.0175,0.0,0.168,154.954
War Bout It (feat. 21 Savage),Lil Durk,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",0.732,0.6,-9.057,0.241,0.00385,0.000114,0.436,167.973
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",Metro Boomin,"['hip hop', 'rap']",0.631,0.535,-7.836,0.0842,0.464,0.0,0.22,140.127
I'm Geekin,DDG,['pop rap'],0.839,0.544,-6.651,0.252,0.344,0.0,0.332,113.032
Private Landing (feat. Justin Bieber & Future),Don Toliver,"['rap', 'trap']",0.843,0.669,-4.105,0.0639,0.0846,1.28e-05,0.435,136.979
No Angels (with Lola Brooke),Coi Leray,"['new jersey underground rap', 'trap queen']",0.75,0.614,-7.98,0.116,0.115,0.000392,0.487,143.037
Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,"['hip pop', 'pop', 'queens hip hop', 'rap']",0.77,0.58,-8.393,0.247,0.519,0.000127,0.753,144.072
Trance (with Travis Scott & Young Thug),Metro Boomin,"['hip hop', 'rap']",0.571,0.549,-7.38,0.404,0.18,0.0,0.447,119.497
06 Gucci (feat. DaBaby & 21 Savage),Gucci Mane,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.786,0.719,-7.487,0.296,0.252,0.0,0.802,130.081
Cars Bring Me Out (feat. Future),Young Thug,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']",0.759,0.741,-6.065,0.171,0.0192,0.0,0.69,100.054
Pound Town 2 (feat. Nicki Minaj & Tay Keith),Sexyy Red,['trap queen'],0.637,0.634,-8.126,0.426,0.174,0.0,0.49,178.037
Attention,Doja Cat,"['dance pop', 'pop']",0.759,0.567,-7.911,0.248,0.118,0.0278,0.421,87.981
Spin Bout U,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.773,0.701,-6.386,0.0512,0.01,0.0,0.203,129.963
Go Hard,Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']",0.849,0.581,-5.464,0.261,0.0178,0.0,0.274,142.015
I Can't Lie (with Kodak Black),French Montana,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.636,0.723,-4.865,0.246,0.0445,0.0,0.421,162.026
My wrist (with Young Thug),Yeat,"['pluggnb', 'rage rap']",0.784,0.616,-7.159,0.0927,0.0042,0.00592,0.291,137.019
Area Codes,Kaliii,['rap'],0.823,0.388,-10.867,0.491,0.0187,0.0,0.507,154.569
Princess Diana (with Nicki Minaj),Ice Spice,['bronx drill'],0.898,0.676,-5.196,0.187,0.14,0.0,0.742,147.991
