track_name,artist_name,genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
MI EXXX,Wisin,"['reggaeton', 'urbano latino']",0.759,0.674,-7.259,0.0503,0.0354,0.0697,0.34,95.981
Wazap,Yng Lvcas,['reggaeton'],0.828,0.523,-4.48,0.242,0.193,0.00378,0.404,170.033
TUYA,ROSALÍA,"['pop', 'r&b en espanol']",0.72,0.533,-5.88,0.152,0.603,0.00341,0.549,165.099
Coco Chanel,Eladio Carrion,"['trap boricua', 'trap latino', 'trap triste', 'urbano latino']",0.683,0.764,-5.995,0.0441,0.0427,0.0,0.137,149.949
RoCKSTAR 2.0,Duki,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste', 'urbano latino']",0.63,0.553,-12.116,0.0689,0.00474,3.85e-06,0.297,170.04
Frágil,Yahritza Y Su Esencia,['sad sierreno'],0.605,0.726,-4.515,0.0309,0.365,0.0,0.393,149.918
Me Enteré,Tiago PZK,"['trap argentino', 'trap latino', 'urbano latino']",0.595,0.675,-3.814,0.108,0.121,1.24e-06,0.612,140.978
DISPARA ***,Nicki Nicole,"['argentine hip hop', 'r&b argentino', 'trap argentino', 'trap latino', 'urbano latino']",0.809,0.656,-2.978,0.165,0.488,0.0,0.666,89.982
Niña Bonita,Feid,"['colombian pop', 'pop reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",0.823,0.615,-4.19,0.147,0.104,0.0,0.47,90.952
Primera Cita,Carin Leon,"['banda', 'corrido', 'musica mexicana', 'sad sierreno', 'sierreno']",0.544,0.396,-7.804,0.0637,0.607,6.17e-05,0.502,157.939
Abcdario,Eden Muñoz,"['corrido', 'sierreno']",0.703,0.429,-9.076,0.0308,0.783,1.48e-06,0.416,129.034
Así Lo Quiso Dios,Eslabon Armado,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",0.698,0.664,-4.027,0.0406,0.302,0.0,0.747,144.981
MIENTRAS ME CURO DEL CORA,KAROL G,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",0.523,0.477,-6.786,0.392,0.855,0.0,0.57,79.921
Vida Gangster,Lauty Gram,['rkt'],0.693,0.756,-5.209,0.0477,0.5,4.67e-05,0.53,94.884
Un Cigarrillo,Chencho Corleone,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",0.781,0.774,-4.477,0.187,0.133,0.0,0.762,175.956
No_se_ve.mp3,Emilia,['pop argentino'],0.752,0.666,-5.185,0.0672,0.0971,1.62e-05,0.545,131.986
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']",0.621,0.782,-5.548,0.044,0.0125,0.033,0.55,128.033
Funk Rave,Anitta,"['funk pop', 'funk rj', 'pagode baiano', 'pop', 'pop nacional']",0.882,0.802,-4.835,0.0927,0.147,0.000571,0.706,135.076
Overcome,Nothing But Thieves,"['alternative pop rock', 'modern alternative rock', 'modern rock']",0.413,0.876,-4.577,0.057,0.000938,0.000104,0.341,164.08
Rescued,Foo Fighters,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",0.274,0.956,-4.978,0.0814,1.37e-05,1.33e-06,0.339,150.207
SABOTAGE//,KennyHoopla,['pop punk'],0.562,0.823,-4.204,0.0511,0.0014,6.15e-05,0.34,90.996
Portrait of a Blank Slate,Lovejoy,"['pixel', 'pov: indie']",0.6,0.863,-5.564,0.131,0.0203,0.000719,0.744,159.951
LosT,Bring Me The Horizon,"['melodic metalcore', 'metalcore', 'modern rock', 'pop punk', 'rock', 'uk metalcore']",0.396,0.939,-3.155,0.227,0.000285,0.0,0.39,185.081
Stuck,Thirty Seconds To Mars,"['modern rock', 'post-grunge']",0.62,0.782,-5.326,0.058,0.0409,2.01e-06,0.551,123.117
The Narcissist,Blur,"['alternative rock', 'britpop', 'madchester', 'permanent wave', 'rock']",0.563,0.908,-5.318,0.034,0.0363,3.14e-05,0.524,127.969
Just Pretend,Bad Omens,['american metalcore'],0.457,0.834,-4.674,0.0817,0.00252,0.00125,0.201,140.032
Emergency Contact,Pierce The Veil,"['pop punk', 'screamo']",0.537,0.82,-4.214,0.0345,0.000429,0.0,0.414,113.032
Running Out Of Time,Paramore,"['candy pop', 'pixie', 'pop', 'pop emo', 'pop punk', 'rock']",0.736,0.534,-9.22,0.0367,0.0433,0.00434,0.552,127.035
BABY SAID,Måneskin,"['indie rock italiano', 'italian pop', 'pop']",0.622,0.715,-4.04,0.0323,0.000982,0.0,0.607,131.012
Hold Me Like a Grudge,Fall Out Boy,"['emo', 'modern rock', 'pop', 'pop punk', 'rock']",0.646,0.798,-5.283,0.0767,0.000305,9.84e-05,0.821,113.959
Emotion Sickness,Queens of the Stone Age,"['alternative metal', 'alternative rock', 'grunge', 'modern rock', 'nu metal', 'palm desert scene', 'rock', 'stoner metal', 'stoner rock']",0.477,0.448,-6.372,0.0495,0.00244,0.000507,0.679,121.882
Bogus Operandi,The Hives,"['alternative rock', 'garage rock', 'garage rock revival', 'modern rock', 'rock', 'swedish garage rock', 'swedish hard rock', 'swedish indie rock']",0.354,0.994,-1.58,0.182,0.0228,3.28e-05,0.0986,144.978
Hollywood Baby,100 gecs,"['bubblegum bass', 'hyperpop', 'proto-hyperpop']",0.354,0.931,0.706,0.0769,0.0586,0.0,0.564,77.135
Raw Raw,K.Flay,"['escape room', 'hip pop', 'modern alternative rock']",0.637,0.673,-5.272,0.0541,0.0479,1e-05,0.517,124.059
Lost,Linkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",0.596,0.798,-4.63,0.0285,0.00412,0.0,0.459,105.01
Calm Down,All Time Low,"['modern rock', 'neon pop punk', 'pop punk']",0.547,0.684,-4.88,0.0303,0.0192,0.0,0.276,90.034
ALL CAPS (feat. John the Ghost),Weathers,['pov: indie'],0.542,0.843,-5.826,0.0607,0.0108,0.0,0.65,169.036
GODDESS,PVRIS,"['pixie', 'pop emo', 'pop punk']",0.709,0.848,-4.671,0.0778,0.0145,0.00305,0.845,120.029
Normalize,Mother Mother,"['pov: indie', 'vancouver indie']",0.24,0.876,-5.977,0.0748,0.0203,0.00039,0.474,179.84
Golden,Barns Courtney,['modern alternative rock'],0.586,0.81,-7.287,0.0484,0.00275,2.95e-05,0.646,105.015
blame,The Maine,"['neon pop punk', 'pop emo', 'pop punk', 'tempe indie']",0.649,0.908,-5.028,0.037,0.0339,3.04e-05,0.667,104.011
Lowlife,YUNGBLUD,"['british indie rock', 'modern rock', 'pov: indie', 'rock']",0.631,0.884,-2.892,0.1,0.0632,0.0,0.878,92.507
Lead Pipe,Movements,"['alternative emo', 'dreamo', 'midwest emo', 'pop punk', 'socal pop punk']",0.421,0.963,-2.976,0.0502,0.000121,0.0,0.679,125.239
Nobody,Avenged Sevenfold,"['alternative metal', 'nu metal']",0.353,0.677,-8.159,0.041,0.000908,2.91e-06,0.222,73.762
The Summoning,Sleep Token,['prog metal'],0.395,0.701,-5.471,0.0377,0.00148,0.0049,0.148,172.965
Meeting The Master,Greta Van Fleet,"['modern blues rock', 'modern hard rock', 'rock']",0.22,0.656,-3.929,0.0339,0.121,0.00652,0.105,148.187
ONE NATION UNDERDOGS,Royal & the Serpent,"['alt z', 'indie electropop', 'modern alternative pop']",0.539,0.977,-2.556,0.218,0.000431,0.0,0.48,122.046
Told You So,The Band CAMINO,"['hopebeat', 'pov: indie']",0.462,0.979,-4.255,0.0664,0.000899,8.3e-06,0.542,173.957
Kool,Meet Me @ The Altar,"['black punk', 'diy emo', 'indie punk', 'pixie', 'pop punk']",0.547,0.571,-4.997,0.15,0.00263,2.31e-05,0.677,164.967
Giving Up,The Used,"['alternative metal', 'neon pop punk', 'pop emo', 'post-grunge', 'post-hardcore', 'screamo']",0.503,0.904,-4.948,0.154,0.052,0.00103,0.277,163.007
MORE,The Warning,"['mexican metal', 'monterrey indie']",0.642,0.718,-5.029,0.0436,0.00245,2.74e-05,0.883,115.01
Mountains At Midnight,Royal Blood,"['brighton indie', 'garage rock', 'modern alternative rock', 'modern blues rock', 'modern hard rock', 'modern rock', 'rock']",0.528,0.959,-4.535,0.103,0.00068,0.00757,0.504,136.034
Never Ending Moment,Des Rocs,"['modern alternative rock', 'rebel blues']",0.533,0.928,-3.831,0.0362,0.00312,0.000522,0.332,132.007
Psycho,Asking Alexandria,"['alternative metal', 'melodic metalcore', 'metalcore', 'pop punk', 'post-grunge', 'trancecore', 'uk metalcore']",0.58,0.939,-5.489,0.0643,0.000963,1.55e-05,0.338,125.012
Another Celebration at the End of the World,Mammoth WVH,[],0.428,0.953,-5.687,0.233,1.66e-05,0.778,0.385,190.16
Welcome to My House,YONAKA,"['brighton indie', 'modern alternative rock']",0.532,0.833,-3.22,0.0421,0.0205,0.0,0.51,102.019
A Little Bit Happy,TALK,['singer-songwriter pop'],0.593,0.714,-2.965,0.0299,0.348,0.0,0.347,111.924
Francesca,Hozier,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']",0.303,0.583,-7.217,0.0344,0.000232,1.61e-06,0.184,177.98
Get Happy,Matt Maeson,['pov: indie'],0.416,0.867,-6.184,0.116,0.139,2.47e-06,0.351,168.029
Love Will Get You There,Inhaler,['dublin indie'],0.503,0.902,-4.724,0.0451,0.0382,6.27e-06,0.505,96.034
Lose You (feat. Soccer Mommy),Bully,"['bubblegrunge', 'indie punk']",0.376,0.83,-6.561,0.0826,0.0445,0.00783,0.324,168.051
Positive Charge,The Gaslight Anthem,"['heartland rock', 'new jersey hardcore', 'new jersey indie', 'new jersey punk']",0.44,0.913,-4.523,0.0528,0.00212,0.0,0.584,158.098
Not Strong Enough,boygenius,['indie pop'],0.508,0.797,-5.854,0.0411,0.00261,7.56e-06,0.361,126.982
Very High,Militarie Gun,"['5th wave emo', 'california hardcore', 'modern melodic hardcore']",0.539,0.922,-3.821,0.0434,9.94e-05,0.0,0.439,110.963
Blood In The Water,Ayron Jones,['seattle indie'],0.256,0.651,-6.814,0.0378,0.00038,7.36e-06,0.0763,77.89
Hate.,ThxSoMch,['bedroom r&b'],0.644,0.834,-7.497,0.0358,0.00161,0.0412,0.744,94.922
The Void,Spiritbox,"['canadian metalcore', 'melodic metalcore']",0.402,0.985,-3.364,0.244,2.56e-05,0.00157,0.334,144.055
$wing,FEVER 333,"['la indie', 'nu-metalcore']",0.454,0.952,-3.88,0.252,0.00172,0.0,0.49,184.938
(It Goes Like) Nanana - Edit,Peggy Gou,"['electra', 'float house']",0.671,0.876,-5.681,0.0352,0.12,0.188,0.964,129.998
TAKE IT OFF,FISHER,"['australian house', 'house']",0.884,0.707,-6.607,0.202,0.000502,0.258,0.582,127.013
Running Blind,Aluna,['dance pop'],0.807,0.685,-7.362,0.05,0.00802,0.523,0.58,126.023
Eat Your Man (with Nelly Furtado),Dom Dolla,"['australian house', 'deep groove house', 'house']",0.738,0.883,-7.989,0.0818,0.053,0.193,0.651,125.04
Feel Your Ghost,Tiësto,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance']",0.712,0.882,-4.691,0.0782,0.0384,4.04e-05,0.405,133.021
Fine Day Anthem,Skrillex,"['brostep', 'complextro', 'edm', 'electro', 'pop dance']",0.745,0.85,-3.903,0.075,0.000285,0.0392,0.54,138.03
Car Keys (Ayla),Alok,"['electro house', 'pop nacional', 'sertanejo universitario', 'slap house']",0.675,0.986,-4.606,0.0974,0.0868,4.96e-06,0.57,126.004
Ascend,Dezko,[],0.707,0.835,-8.759,0.0418,0.601,0.791,0.0958,120.009
Shadows,Kungs,"['edm', 'pop dance']",0.745,0.868,-6.105,0.0464,0.0185,0.906,0.562,123.988
Asking,Sonny Fodera,"['house', 'pop dance', 'tech house', 'uk dance']",0.477,0.854,-5.274,0.0896,0.0213,1.67e-05,0.395,126.965
Delilah,Mikolas Josef,['czech pop'],0.657,0.783,-5.828,0.398,0.0905,7.34e-06,0.707,134.223
If Only I (feat. Bebe Rexha),Loud Luxury,"['edm', 'pop dance']",0.693,0.73,-5.06,0.0356,0.161,4.12e-05,0.693,120.018
How You Samba,Kris Kross Amsterdam,"['dutch house', 'dutch pop']",0.566,0.704,-8.003,0.0752,0.0461,3.25e-05,0.429,124.933
Crying On The Dancefloor,Sam Feldt,"['edm', 'pop dance', 'tropical house']",0.723,0.698,-6.162,0.0659,0.18,0.0,0.317,126.001
On & On,Armin van Buuren,"['dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']",0.681,0.933,-2.855,0.104,0.0221,0.00504,0.46,128.036
Phone,MEDUZA,"['edm', 'pop dance', 'pop house', 'uk dance']",0.652,0.614,-7.833,0.0664,0.0792,0.0,0.384,129.991
0800 HEAVEN,Nathan Dawe,"['pop dance', 'uk dance']",0.643,0.833,-4.109,0.1,0.188,2.41e-06,0.216,139.941
Now U Do - Edit,DJ Seinfeld,['lo-fi house'],0.759,0.882,-5.81,0.0339,0.229,0.0403,0.878,137.058
See You Again,The Chainsmokers,"['electropop', 'pop']",0.478,0.497,-4.992,0.0304,0.0844,0.00118,0.209,144.046
Hurricane,Martin Garrix,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']",0.434,0.66,-5.605,0.0359,0.0122,6.12e-06,0.315,127.968
On + On (with Justine Skye),Austin Millz,[],0.672,0.606,-9.903,0.279,0.348,9.95e-06,0.65,116.1
L.I.F.E,&ME,"['deep disco house', 'minimal techno', 'organic house']",0.72,0.72,-11.552,0.0373,0.00058,0.877,0.0375,119.998
Feels Just Like it,LP Giobbi,['house'],0.693,0.526,-11.323,0.0361,0.246,0.116,0.22,120.946
I've Been In Love,Jungle,"['indie soul', 'indietronica', 'uk contemporary r&b']",0.679,0.506,-9.497,0.0671,0.421,0.00216,0.588,114.967
Beggin',Chris Lake,"['bass house', 'edm', 'electro house', 'house', 'melbourne bounce', 'pop dance', 'progressive house', 'tech house']",0.817,0.67,-6.315,0.0545,0.156,0.168,0.712,125.972
Mercy (feat. Jacob Lusk),The Blessed Madonna,['edm'],0.815,0.645,-6.046,0.0938,0.00589,2.96e-05,0.652,126.994
Lose Control,James Hype,"['deep groove house', 'pop dance', 'uk dance']",0.714,0.936,-3.693,0.0426,0.0338,0.0239,0.243,128.011
Overdrive - Edit,Charlotte de Witte,"['belgian techno', 'electra']",0.715,0.786,-9.047,0.159,0.0114,0.525,0.0833,138.002
Welcome To The Opera (with Grimes),Anyma,['stutter house'],0.455,0.897,-6.345,0.0507,0.0073,0.259,0.0578,124.977
Upside Down (feat. Poppy Baskcomb),MEDUZA,"['edm', 'pop dance', 'pop house', 'uk dance']",0.548,0.857,-6.83,0.0369,0.0187,0.749,0.0532,127.967
See The Light (feat. Fridayy),Swedish House Mafia,"['edm', 'pop dance', 'progressive electro house']",0.586,0.877,-8.164,0.0373,0.0115,0.841,0.106,129.012
The Feeling,Lost Frequencies,"['belgian edm', 'edm', 'pop dance', 'tropical house']",0.615,0.744,-7.706,0.163,0.404,0.0,0.357,131.837
Shit We Do For Love,Icona Pop,"['candy pop', 'dance pop', 'electropop', 'metropopolis', 'swedish electropop', 'swedish synthpop']",0.691,0.859,-5.211,0.116,0.0466,0.0172,0.487,142.046
Paradise,Sophie and the Giants,['sheffield indie'],0.657,0.809,-3.525,0.0563,0.00466,0.000229,0.859,124.982
Better Times,KC Lights,"['deep groove house', 'house', 'scottish electronic', 'uk dance']",0.567,0.865,-5.482,0.0674,0.0449,0.0026,0.509,126.996
Padam Padam,Kylie Minogue,"['australian dance', 'australian pop', 'dance pop', 'eurodance', 'new wave pop']",0.746,0.622,-7.923,0.241,0.201,0.00113,0.719,128.101
Praising You (feat. Fatboy Slim),Rita Ora,"['dance pop', 'pop', 'uk pop']",0.689,0.788,-4.978,0.084,0.07,0.0,0.656,122.968
Rock My Body,R3HAB,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']",0.662,0.821,-4.103,0.13,0.202,0.0,0.47,124.077
Where You Are,John Summit,"['house', 'pop dance', 'tech house', 'uk dance']",0.56,0.832,-6.432,0.0363,0.00953,0.00541,0.0818,126.0
Your Mind Is Dirty,Mau P,['tech house'],0.652,0.976,-5.009,0.0604,0.453,0.888,0.554,128.012
Without You,Alesso,"['dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",0.576,0.935,-3.805,0.102,0.15,0.0,0.609,128.051
Good Morning (feat. YOU),Timmy Trumpet,"['australian dance', 'big room', 'melbourne bounce', 'melbourne bounce international']",0.633,0.901,-6.741,0.0474,0.00484,0.21,0.506,130.058
So Much In Love,D.O.D,"['electro house', 'house', 'pop dance', 'uk dance']",0.535,0.954,-4.347,0.0802,0.0723,0.000819,0.0396,131.93
Gonna Be Good,Madeon,"['complextro', 'edm', 'electro house', 'electropop', 'filter house', 'nantes indie', 'pop dance']",0.493,0.607,-7.186,0.0333,0.228,0.0452,0.147,77.993
Sometimes… (with Daya & Earthgang),Snakehips,"['electropop', 'uk dance']",0.67,0.786,-5.07,0.107,0.039,0.0,0.578,106.009
Enjoy Your Life,Romy,[],0.674,0.924,-4.943,0.102,0.0143,6.09e-06,0.811,123.04
Good Love,Hannah Laing,[],0.775,0.817,-4.921,0.0656,0.127,0.00273,0.386,140.033
Be The One,Eli Brown,"['house', 'tech house', 'uk dance']",0.659,0.93,-5.084,0.043,0.00634,0.177,0.546,135.977
I like u,Tove Lo,"['metropopolis', 'pop', 'swedish electropop', 'swedish pop', 'swedish synthpop']",0.456,0.85,-7.897,0.0853,0.00271,3.75e-05,0.132,132.866
Lost My Mind (Wake Up),BUNT.,['stutter house'],0.562,0.783,-6.688,0.23,0.00286,0.948,0.435,132.863
Worlds Away,Dabin,"['canadian electronic', 'melodic dubstep', 'pop edm']",0.444,0.826,-5.239,0.0771,0.0203,0.0,0.327,149.97
Sweat,KREAM,['pop dance'],0.647,0.798,-7.049,0.0393,0.00793,0.0196,0.159,126.028
All Night Long,Chris Stussy,['dutch tech house'],0.791,0.704,-9.879,0.0461,0.00877,0.301,0.773,133.006
Ghost Town,VIZE,"['german dance', 'slap house']",0.696,0.525,-6.151,0.0361,0.0347,9.51e-06,0.512,140.024
Hero,Alan Walker,['electro house'],0.59,0.681,-7.289,0.0305,0.046,7.55e-05,0.0726,126.02
Off Wiv Ya Headz,Nia Archives,['modern jungle'],0.555,0.984,-2.772,0.135,0.0116,0.586,0.337,164.989
Jacaré,Sofi Tukker,['edm'],0.694,0.84,-5.18,0.0364,0.00375,0.0163,0.711,125.063
Hope,CamelPhat,"['deep tech house', 'house', 'progressive house', 'uk dance']",0.604,0.7,-7.687,0.104,0.488,0.00281,0.174,121.95
Lose My Mind,Jamie Jones,"['deep disco house', 'deep house', 'house', 'minimal techno', 'uk tech house']",0.646,0.898,-6.27,0.0358,0.00119,0.0406,0.62,124.002
Push Up - Main Edit,Creeds,[],0.767,0.83,-8.78,0.206,0.209,0.836,0.187,75.023
TMO (Turn Me On) [feat. Kevin Lyttle],Luude,['aussietronica'],0.503,0.915,-2.488,0.136,0.128,0.0,0.763,179.002
Can’t Fight The Feeling,Matroda,"['bass house', 'electro house', 'tech house']",0.878,0.882,-4.143,0.223,0.00861,2.39e-05,0.64,125.98
Push To Start (feat. No/Me),Noizu,"['bass house', 'house', 'tech house', 'uk dance']",0.852,0.988,-6.007,0.0588,0.00951,0.302,0.67,128.013
Rhyme Dust,MK,"['house', 'pop dance']",0.925,0.561,-8.675,0.176,0.0659,0.0271,0.721,128.034
Colourblind,Jess Bays,['uk dance'],0.742,0.835,-6.23,0.0385,0.033,0.00156,0.577,127.013
When She Dance,Jayda G,['canadian electronic'],0.843,0.605,-7.988,0.0383,0.0317,1.1e-06,0.455,108.93
Don't Stop,Biscits,"['bass house', 'house', 'tech house', 'uk dance', 'uk tech house']",0.824,0.608,-8.51,0.0541,0.0541,0.241,0.48,127.028
Glow,Rebūke,['irish electronic'],0.689,0.909,-8.367,0.0381,0.0109,0.837,0.0992,126.996
Substitution (feat. Julian Perretta),Purple Disco Machine,"['deep house', 'house']",0.69,0.89,-4.866,0.0507,0.00903,1.61e-05,0.713,124.018
The Rapture Pt.III,&ME,"['deep disco house', 'minimal techno', 'organic house']",0.72,0.534,-11.949,0.0375,0.0223,0.86,0.0393,120.009
Relax My Eyes,ANOTR,['dutch tech house'],0.747,0.616,-9.76,0.0324,0.176,0.116,0.908,131.975
Voodoo,Gorgon City,"['future garage', 'house', 'pop dance', 'uk dance']",0.66,0.878,-6.647,0.0596,0.212,0.663,0.264,129.004
Giving Me,Jazzy,['pop dance'],0.735,0.651,-9.25,0.112,0.329,0.000205,0.476,127.07
Dancing is Healing,Rudimental,"['pop dance', 'uk dance', 'uk funky']",0.589,0.808,-4.338,0.0848,0.265,0.0,0.342,165.852
Good Lies,Overmono,['future garage'],0.688,0.809,-4.781,0.0474,0.0694,0.88,0.615,126.019
Touching Yourself,The Japanese House,"['indie pop', 'indietronica', 'modern dream pop', 'pov: indie', 'vapor soul']",0.714,0.68,-5.989,0.026,0.135,1.82e-06,0.934,108.001
Think Fast (feat. Weezer),Dominic Fike,"['alternative pop rock', 'pov: indie']",0.538,0.452,-7.994,0.0462,0.368,2.26e-05,0.209,168.102
All We Ever Do Is Talk,Del Water Gap,"['deep new americana', 'indie pop', 'pov: indie']",0.474,0.874,-5.493,0.0823,0.0461,0.0,0.592,153.03
mañana,Tainy,"['pop reggaeton', 'reggaeton', 'trap latino', 'urbano latino']",0.793,0.656,-5.64,0.0969,0.749,0.0277,0.0826,92.012
Sinner,The Last Dinner Party,[],0.592,0.813,-4.787,0.0301,0.00131,0.00834,0.369,102.008
But Not Kiss,Faye Webster,"['atlanta indie', 'indie pop']",0.698,0.51,-8.817,0.0366,0.132,0.167,0.152,82.004
the car,glaive,"['glitchcore', 'hyperpop', 'proto-hyperpop']",0.47,0.631,-4.617,0.0327,8.17e-05,0.0,0.608,145.16
Wishing well,waterbaby,[],0.283,0.321,-9.953,0.0366,0.896,0.00314,0.23,88.399
Sweet Bonita,Walter The Producer,[],0.72,0.702,-4.673,0.0466,0.333,0.091,0.422,169.735
There’s no Other,Felly,"['deep underground hip hop', 'indie pop rap']",0.869,0.494,-9.105,0.059,0.472,0.125,0.84,105.972
Shame,TV Girl,['pov: indie'],0.71,0.734,-7.183,0.0253,0.298,0.0,0.886,90.006
we were girls together,Delaney Bailey,['gen z singer-songwriter'],0.596,0.127,-15.2,0.0335,0.895,0.0455,0.32,96.513
my year of rest & relaxation,ggwendolyn,[],0.475,0.635,-7.242,0.076,0.00725,7.71e-05,0.649,93.768
Locals (Girls like us) [with gabby start],underscores,['hyperpop'],0.722,0.683,-5.538,0.175,0.0113,0.0,0.514,133.966
Prescription,Remi Wolf,"['indie pop', 'modern alternative pop']",0.649,0.621,-5.818,0.034,0.126,0.0267,0.74,139.988
Coffee Shop,flowerovlove,['modern indie pop'],0.831,0.601,-5.303,0.0341,0.605,0.00517,0.821,105.017
Speed Drive (From Barbie The Album),Charli XCX,"['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']",0.652,0.879,-6.405,0.0784,0.00284,0.0896,0.789,173.925
A Bowl of Unripe Fruit,Matilda Lyn,[],0.444,0.377,-9.805,0.0344,0.868,1.59e-05,0.351,154.944
Bruises Off The Peach,Ryan Beatty,['bedroom soul'],0.532,0.477,-8.799,0.0444,0.668,5.81e-05,0.422,131.643
Your face,Wisp,[],0.55,0.751,-7.522,0.0269,0.00624,0.857,0.321,134.033
drive ME crazy!,Lil Yachty,"['atl hip hop', 'melodic rap', 'rap', 'trap']",0.492,0.807,-3.677,0.0854,0.205,0.00275,0.477,107.087
Mama's Boy,Dominic Fike,"['alternative pop rock', 'pov: indie']",0.807,0.354,-7.554,0.0321,0.15,0.713,0.602,78.964
Boyhood,The Japanese House,"['indie pop', 'indietronica', 'modern dream pop', 'pov: indie', 'vapor soul']",0.613,0.648,-9.057,0.075,0.616,1.25e-05,0.625,114.94
Roommates,Malcolm Todd,[],0.733,0.369,-10.769,0.0291,0.559,0.0,0.497,110.088
If You Were Mine,MINOVA,[],0.602,0.314,-9.915,0.0284,0.691,0.00493,0.155,110.099
Beanie Baby Blues,Hanna Mars,[],0.675,0.653,-7.659,0.0276,0.315,9.58e-06,0.323,99.036
Sarah,marinelli,['modern indie pop'],0.553,0.543,-8.838,0.033,0.523,0.0,0.559,61.507
You Wish,Flyana Boss,[],0.833,0.848,-3.703,0.222,0.069,0.0,0.934,160.114
Girl Blue,Good Sport,[],0.539,0.412,-6.903,0.0369,0.0951,0.000247,0.253,106.963
Can I Talk My Shit?,Vagabon,['art pop'],0.771,0.547,-6.173,0.0293,0.484,0.00376,0.698,124.039
Freakin,binki,['modern indie pop'],0.744,0.69,-5.669,0.0391,0.00797,6.08e-06,0.829,114.985
Why'd You Leave Me in the Red?,Jouska,['oslo indie'],0.789,0.686,-10.027,0.0702,0.0959,0.848,0.251,115.014
COME WITH ME,Babebee,['modern indie pop'],0.578,0.498,-6.431,0.0355,0.144,0.113,0.369,117.081
Nothing Matters,The Last Dinner Party,[],0.587,0.798,-5.109,0.037,0.0329,0.000134,0.6,101.161
Lose,Hannah Jadagu,['bedroom pop'],0.644,0.829,-7.217,0.0297,0.0294,0.00305,0.528,123.998
NYC UMTs,May Rio,[],0.589,0.647,-6.647,0.0288,0.0695,0.332,0.542,169.698
Uh,Zuaraz,['nuevo folklore mexicano'],0.871,0.334,-10.623,0.0586,0.104,0.611,0.964,90.024
Found!,Portraits Of Tracy,[],0.382,0.923,-3.123,0.1,0.00266,0.0,0.152,144.368
Bruise,BETWEEN FRIENDS,"['indie pop', 'la pop', 'pov: indie']",0.677,0.428,-8.026,0.111,0.296,0.0,0.504,103.522
U SAID!,Ray Laurél,[],0.706,0.595,-6.688,0.0671,0.0109,0.0308,0.575,127.964
Lovegod,Sarah Kinsley,['gen z singer-songwriter'],0.271,0.647,-7.615,0.0401,0.233,1.4e-05,0.163,185.867
Sunset For The Dead,Tommy Newport,['kansas indie'],0.647,0.623,-4.92,0.0362,0.0725,0.0186,0.526,78.987
End Of The World,Hether,"['bedroom pop', 'modern indie pop']",0.612,0.175,-16.338,0.0323,0.97,0.00176,0.239,95.86
fall in love,JAWNY,"['bedroom pop', 'pov: indie']",0.485,0.491,-8.027,0.0371,0.33,0.00188,0.154,134.982
Mona Lisa (Spider-Man: Across the Spider-Verse),Dominic Fike,"['alternative pop rock', 'pov: indie']",0.759,0.646,-7.603,0.12,0.231,0.0,0.445,111.043
Casual,Chappell Roan,"['indie pop', 'springfield mo indie']",0.508,0.411,-6.95,0.0269,0.226,0.0,0.34,131.008
Charm You - Blondshell Version,Blondshell,[],0.642,0.728,-7.074,0.0297,0.000392,0.000334,0.781,124.004
My Big Day,Bombay Bicycle Club,"['british indie rock', 'chamber pop', 'indie rock', 'indietronica', 'modern rock', 'shimmer pop']",0.698,0.553,-4.645,0.0396,0.188,0.0,0.596,93.27
Who Is Afraid Of Blue,Purr,['modern indie pop'],0.334,0.674,-4.858,0.0444,0.123,1.38e-06,0.347,146.783
Prepaid Wireless,Wallice,['indie pop'],0.636,0.794,-5.285,0.0689,0.121,0.000165,0.373,129.996
sever the blight,hemlocke springs,[],0.597,0.788,-4.527,0.0433,0.0279,0.000214,0.153,159.958
Sparks,Jordana,['modern indie pop'],0.631,0.415,-7.289,0.0345,0.41,0.196,0.223,85.379
Over and Over,Love Spells,[],0.567,0.554,-7.522,0.0285,0.267,0.855,0.24,114.971
Bender,Bennett Coast,['chill pop'],0.65,0.53,-7.546,0.037,0.108,0.0,0.701,103.015
